id,name,unit,value,date_update,date_create,icon,color
455,hot water,m³,9.548,2021-08-06 01:11:18.000000,2021-05-03 15:01:08.817997,fa-tint,danger
463,cold water,m³,47.973,2021-08-06 02:37:35.000000,2021-05-03 15:01:09.792831,fa-tint,water
466,cold water,m³,23.259,2021-08-06 05:24:16.000000,2021-05-03 15:01:10.166223,fa-tint,water
461,hot water,m³,11.461,2021-08-06 05:58:03.000000,2021-05-03 15:01:09.538087,fa-tint,danger
29,H000601 - 104634,m³,3592504.266,2021-08-05 10:03:59.000000,2021-04-01 13:07:51.973315,fa-tint,water
48,Apator Ultrimis Testmåler,m³,123.933,2021-08-04 12:02:52.000000,2021-04-05 08:57:02.118374,fa-tint,danger
51,A7999 - 208441,m³,2722369.576,2021-08-05 10:04:03.000000,2021-04-05 17:08:55.151099,fa-tint,water
107,A010320-1/12 - 304072,m³,1338720.626,2021-08-05 20:13:34.000000,2021-04-15 07:55:17.346153,fa-tint,water
108,A010320-2/12 - 304073,m³,3217039.984,2021-08-05 20:13:30.000000,2021-04-15 07:55:17.456151,fa-tint,water
109,A010320-3/12 - 304118,m³,2672273.455,2021-08-05 20:13:32.000000,2021-04-15 07:55:17.546825,fa-tint,water
110,A010320-4/12 - 304119,m³,4217770.933,2021-08-05 20:13:41.000000,2021-04-15 07:55:17.629369,fa-tint,water
111,A010320-6/12 - 304121,m³,2249274.322,2021-08-05 20:13:26.000000,2021-04-15 07:55:17.709167,fa-tint,water
115,A010320-9/12 - 304124,m³,2004124.736,2021-08-05 20:13:16.000000,2021-04-15 07:55:18.050726,fa-tint,water
180,accumulated heat energy,kWh,1729,2021-08-04 12:56:55.000000,2021-04-20 16:30:30.944752,fa-fire,danger
186,accumulated heat energy,kWh,2818,2021-08-05 11:11:25.000000,2021-04-20 16:32:04.819056,fa-fire,danger
190,accumulated heat energy,kWh,1741,2021-08-05 11:00:09.000000,2021-04-20 16:33:08.623417,fa-fire,danger
192,accumulated heat energy,kWh,3128,2021-08-05 10:16:04.000000,2021-04-20 16:33:39.293226,fa-fire,danger
194,accumulated heat energy,kWh,731,2021-08-04 16:50:19.000000,2021-04-21 06:20:49.993211,fa-fire,danger
199,10120327000 - iPearl,m³,1471381.419,2021-08-04 10:04:22.000000,2021-04-22 20:13:17.651712,fa-tint,water
200,10121436160 - iPearl,m³,1077940.83,2021-08-05 14:01:04.000000,2021-04-22 20:13:23.170577,fa-tint,water
201,10120421323 - iPearl,m³,1060762.636,2021-08-05 14:01:13.000000,2021-04-22 20:13:28.582736,fa-tint,water
202,10140030639 - iPearl,m³,2151099.452,2021-08-04 10:04:17.000000,2021-04-22 20:13:33.542671,fa-tint,water
203,10140030663 - iPearl,m³,673196.969,2021-08-05 14:01:06.000000,2021-04-22 20:13:40.640199,fa-tint,water
206,10120641195 - iPearl,m³,929722.168,2021-08-05 14:00:36.000000,2021-04-22 20:13:57.591848,fa-tint,water
208,accumulated heat energy,kWh,4418,2021-08-05 10:36:54.000000,2021-04-23 12:20:14.993141,fa-fire,danger
314,accumulated heat energy,kWh,3614,2021-08-05 08:16:34.000000,2021-05-02 20:41:47.800197,fa-fire,danger
336,accumulated heat energy,kWh,2930,2021-08-05 09:48:37.000000,2021-05-03 07:44:26.410834,fa-fire,danger
344,accumulated heat energy,kWh,3005,2021-08-05 08:26:39.000000,2021-05-03 07:44:27.226929,fa-fire,danger
450,heat meter,kWh,7290,2021-08-05 14:30:38.000000,2021-05-03 15:01:08.183714,fa-fire,danger
451,cold water,m³,31.73,2021-08-05 21:17:24.000000,2021-05-03 15:01:08.320290,fa-tint,water
453,heat meter,kWh,9209,2021-08-05 13:06:51.000000,2021-05-03 15:01:08.575361,fa-fire,danger
456,heat meter,kWh,1704,2021-08-05 13:00:43.000000,2021-05-03 15:01:08.950655,fa-fire,danger
458,hot water,m³,9.004,2021-08-05 22:21:33.000000,2021-05-03 15:01:09.195300,fa-tint,danger
457,cold water,m³,19.263,2021-08-06 07:31:26.000000,2021-05-03 15:01:09.071990,fa-tint,water
459,heat meter,kWh,5519,2021-08-05 15:22:47.000000,2021-05-03 15:01:09.301098,fa-fire,danger
460,cold water,m³,32.272,2021-08-06 08:02:42.000000,2021-05-03 15:01:09.424584,fa-tint,water
465,heat meter,kWh,3983,2021-08-05 12:49:43.000000,2021-05-03 15:01:10.040861,fa-fire,danger
467,hot water,m³,8.012,2021-08-05 23:04:37.000000,2021-05-03 15:01:10.293897,fa-tint,danger
468,heat meter,kWh,3802,2021-08-05 14:31:07.000000,2021-05-03 15:01:10.422238,fa-fire,danger
454,cold water,m³,15.771,2021-08-06 08:20:11.000000,2021-05-03 15:01:08.697663,fa-tint,water
473,hot water,m³,3.903,2021-08-06 01:15:47.000000,2021-05-03 15:01:11.002241,fa-tint,danger
514,cold water,m³,45.597,2021-08-06 07:25:28.000000,2021-05-03 15:01:15.883781,fa-tint,water
505,cold water,m³,40.969,2021-08-06 07:39:38.000000,2021-05-03 15:01:14.779933,fa-tint,water
112,A010320-5/12 - 304120,m³,1623976.529,2021-08-05 20:13:28.000000,2021-04-15 07:55:17.802232,fa-tint,water
114,A010320-8/12 - 304123,m³,3491385.729,2021-08-05 20:13:19.000000,2021-04-15 07:55:17.961771,fa-tint,water
